k,n_total,n_typical,q_typ,q_min_typ,q_max_typ,min_over_max_pct,column_stability
1,4,4,1433,1433,1433,100.0,tight
2,4,4,3449,3449,3449,100.0,tight
3,4,4,7276,4513,8191,55.1,unstable
4,4,4,13153,10937,15193,71.99,relaxed
5,4,4,20665,18121,26849,67.49,relaxed
6,4,4,51337,33569,63577,52.8,unstable
7,4,4,127,127,127,100.0,tight
8,4,4,233,233,233,100.0,tight
9,4,4,524287,524287,524287,100.0,tight
10,4,4,750249,554129,855857,64.75,unstable
11,4,4,1913,1913,1913,100.0,tight
12,4,3,3449,3449,3449,100.0,tight
13,4,4,8191,8191,8191,100.0,tight
14,4,4,14153,11113,15193,73.15,relaxed
15,4,3,18121,18121,18121,100.0,tight
16,4,4,44885,35081,54217,64.7,unstable
17,4,4,127,127,127,100.0,tight
18,4,4,233,233,233,100.0,tight
19,4,3,524287,524287,524287,100.0,tight
20,4,4,717457,531793,867577,61.3,unstable
21,4,4,1433,1433,1433,100.0,tight
22,4,4,1198821,3449,2806537,0.12,unstable
23,4,4,7272,4513,8191,55.1,unstable
24,4,3,15193,15193,15193,100.0,tight
25,4,3,18121,18121,18121,100.0,tight
26,4,3,43441,35897,43441,82.63,tight
27,4,4,127,127,127,100.0,tight
28,4,4,233,233,233,100.0,tight
29,4,3,524287,524287,524287,100.0,tight
30,4,3,704161,622577,730753,85.2,tight
31,4,4,1673,1433,1913,74.91,relaxed
32,4,3,2298041,2298041,2298041,100.0,tight
33,4,4,7276,6089,8191,74.34,relaxed
34,4,4,13153,11113,15193,73.15,relaxed
35,4,4,22765,18121,27409,66.11,unstable
36,4,3,54217,54217,57881,93.67,tight
37,4,4,127,127,127,100.0,tight
38,4,4,233,233,233,100.0,tight
39,4,4,524287,524287,524287,100.0,tight
40,4,3,704161,622577,730753,85.2,tight
41,4,4,1673,1433,1913,74.91,relaxed
42,4,3,2298041,2298041,2298041,100.0,tight
43,4,4,5685,4513,8191,55.1,unstable
44,4,4,15193,15193,15193,100.0,tight
45,4,3,18121,18121,18121,100.0,tight
46,4,4,50545,43441,59233,73.34,relaxed
47,4,4,127,127,127,100.0,tight
48,4,4,233,233,233,100.0,tight
49,4,4,524287,524287,524287,100.0,tight
50,4,3,704161,704161,730753,96.36,tight
51,4,4,1673,1433,1913,74.91,relaxed
52,4,3,2298041,2298041,2298041,100.0,tight
53,4,4,7276,6361,8191,77.66,tight
54,4,4,13153,11113,15193,73.15,relaxed
55,4,3,18121,18121,18121,100.0,tight
56,4,4,48829,43441,54217,80.12,tight
57,4,4,127,127,127,100.0,tight
58,4,4,233,233,233,100.0,tight
59,4,4,524287,524287,524287,100.0,tight
60,4,4,717457,622577,730753,85.2,tight
61,4,4,1673,1433,1913,74.91,relaxed
62,4,4,2298041,2298041,2298041,100.0,tight
63,4,3,8191,8191,8191,100.0,tight
64,4,3,15193,11113,15193,73.15,relaxed
65,4,3,18121,18121,18121,100.0,tight
66,4,3,43441,35897,43441,82.63,tight
67,4,4,127,127,127,100.0,tight
68,4,4,233,233,233,100.0,tight
69,4,4,524287,524287,524287,100.0,tight
70,4,3,704161,704161,730753,96.36,tight
71,4,4,1673,1433,1913,74.91,relaxed
72,4,3,2298041,2298041,2298041,100.0,tight
73,4,3,6361,6361,8191,77.66,tight
74,4,3,10960009,10722169,12619129,84.97,tight
75,4,4,18121,18121,18121,100.0,tight
76,4,4,48829,43441,54217,80.12,tight
77,4,4,127,127,127,100.0,tight
78,4,4,233,233,233,100.0,tight
79,4,4,524287,524287,524287,100.0,tight
80,4,4,717457,704161,730753,96.36,tight
81,4,3,1433,1433,1913,74.91,relaxed
82,4,3,2298041,2298041,2298041,100.0,tight
83,4,4,8191,8191,8191,100.0,tight
84,4,4,12391153,10444849,15854617,65.88,unstable
85,4,3,26849,23209,26849,86.44,tight
86,4,4,45057,35897,54217,66.21,unstable
87,4,4,127,127,127,100.0,tight
88,4,4,233,233,233,100.0,tight
89,4,4,524287,524287,524287,100.0,tight
90,4,3,730753,622577,730753,85.2,tight
91,4,3,1433,1433,1913,74.91,relaxed
92,4,4,2298041,2298041,2298041,100.0,tight
93,4,3,8191,8191,8191,100.0,tight
94,4,4,12391153,10960009,13822297,79.29,tight
95,4,3,22000409,22000409,32392273,67.92,relaxed
96,4,3,43441,43441,43441,100.0,tight
97,4,4,127,127,127,100.0,tight
98,4,4,233,233,233,100.0,tight
99,4,4,524287,524287,524287,100.0,tight
100,4,4,739217,622577,855857,72.74,relaxed
101,4,4,561605,1433,1466449,0.1,unstable
102,4,3,2298041,2298041,2806537,81.88,tight
103,4,4,7276,4513,8191,55.1,unstable
104,2,2,13822297,13822297,13822297,100.0,tight
105,3,3,22000409,18121,22000409,0.08,unstable
106,4,3,43441,35081,43441,80.76,tight
107,4,4,127,127,127,100.0,tight
108,4,4,233,233,233,100.0,tight
109,4,4,524287,524287,524287,100.0,tight
110,4,3,704161,704161,704161,100.0,tight
111,4,3,1504073,1466449,1504073,97.5,tight
112,4,3,2298041,2298041,2298041,100.0,tight
113,4,3,8191,8191,8191,100.0,tight
114,2,2,10960009,10960009,10960009,100.0,tight
115,2,2,22000409,22000409,22000409,100.0,tight
116,4,3,54217,53617,59233,90.52,tight
117,4,4,127,127,127,100.0,tight
118,4,4,233,233,233,100.0,tight
119,4,4,524287,524287,524287,100.0,tight
120,4,3,730753,704161,730753,96.36,tight
121,4,3,1504073,1466449,1807097,81.15,tight
122,4,3,2298041,2298041,2298041,100.0,tight
123,4,4,7276,4513,8191,55.1,unstable
124,2,2,13220713,12619129,13822297,91.3,tight
126,4,4,47529,40841,63577,64.24,unstable
127,4,4,127,127,127,100.0,tight
128,4,4,233,233,233,100.0,tight
129,4,4,524287,524287,524287,100.0,tight
130,4,4,663369,622577,931921,66.81,relaxed
131,4,3,1504073,1466449,1504073,97.5,tight
132,4,4,1152921504608250368,2298041,2305843009213693952,0.0,unstable
133,4,3,8191,8191,8191,100.0,tight
134,2,2,13220713,12619129,13822297,91.3,tight
136,4,3,43441,43441,43441,100.0,tight
137,4,4,127,127,127,100.0,tight
138,4,4,233,233,233,100.0,tight
139,4,4,524287,524287,524287,100.0,tight
140,4,3,730753,730753,730753,100.0,tight
141,4,3,1466449,1235417,1504073,82.14,tight
142,4,4,1152921504607995904,2298041,2305843009213693952,0.0,unstable
143,4,4,7276,4513,8191,55.1,unstable
144,2,2,13407313,10960009,15854617,69.13,relaxed
146,4,3,54217,54217,59233,91.53,tight
147,4,4,127,127,127,100.0,tight
148,4,4,233,233,233,100.0,tight
149,4,4,524287,524287,524287,100.0,tight
150,4,4,309485009821345034365042688,622577,618970019642690068730085376,0.0,unstable
151,4,3,1466449,1121297,1504073,74.55,relaxed
152,4,4,1152921504608250368,2298041,2305843009213693952,0.0,unstable
153,4,3,8191,8191,8191,100.0,tight
156,4,4,24293781,43441,48544121,0.09,unstable
157,4,4,127,127,127,100.0,tight
158,4,4,233,233,233,100.0,tight
159,4,4,524287,524287,524287,100.0,tight
160,4,3,618970019642690068730085376,618970019642690068730085376,618970019642690068730085376,100.0,tight
161,4,3,1466449,1121297,1504073,74.55,relaxed
162,4,3,2305843009213693952,2305843009213693952,2305843009213693952,100.0,tight
163,4,4,7276,4513,8191,55.1,unstable
166,4,3,48544121,48544121,48544121,100.0,tight
167,4,4,127,127,127,100.0,tight
168,4,4,233,233,233,100.0,tight
169,4,4,524287,524287,524287,100.0,tight
170,4,3,618970019642690068730085376,618970019642690068730085376,618970019642690068730085376,100.0,tight
171,4,3,1121297,1121297,1504073,74.55,relaxed
172,3,3,2305843009213693696,2305843009213693696,2305843009213693696,100.0,tight
173,4,4,7276,6361,8191,77.66,tight
176,4,3,48544121,48544121,48544121,100.0,tight
177,4,4,127,127,127,100.0,tight
178,4,4,233,233,233,100.0,tight
179,4,4,524287,524287,524287,100.0,tight
180,4,3,618970019642690068730085376,618970019642690068730085376,618970019642690068730085376,100.0,tight
181,4,4,1074493860,1466449,2147483647,0.07,unstable
182,3,3,2305843009213693696,2305843009213693696,2305843009213693696,100.0,tight
183,4,3,8191,8191,8191,100.0,tight
186,4,3,48544121,48544121,48544121,100.0,tight
187,4,4,127,127,127,100.0,tight
188,4,4,233,233,233,100.0,tight
189,4,4,524287,524287,524287,100.0,tight
190,3,3,618970019642690068730085376,704161,618970019642690068730085376,0.0,unstable
191,4,4,1074493860,1466449,2147483647,0.07,unstable
192,3,3,2305843009213693696,2305843009213693696,2305843009213693696,100.0,tight
193,4,3,8191,8191,8191,100.0,tight
196,3,3,48544121,48544121,48544121,100.0,tight
197,4,4,127,127,127,100.0,tight
198,4,4,233,233,233,100.0,tight
199,4,4,524287,524287,524287,100.0,tight
200,2,2,309485009821345034365042688,622577,618970019642690068730085376,0.0,unstable
201,4,4,1074475048,1121297,2147483647,0.05,unstable
202,3,3,2305843009213693696,2305843009213693696,2305843009213693696,100.0,tight
203,4,4,8191,8191,8191,100.0,tight
206,3,3,48544121,48544121,48544121,100.0,tight
207,4,4,127,127,127,100.0,tight
208,4,4,233,233,233,100.0,tight
209,4,4,524287,524287,524287,100.0,tight
210,2,2,309485009821345034365042688,730753,618970019642690068730085376,0.0,unstable
211,4,4,1074475048,1121297,2147483647,0.05,unstable
212,3,3,2305843009213693696,2305843009213693696,2305843009213693696,100.0,tight
213,4,4,6352,4513,8191,55.1,unstable
216,3,3,48544121,48544121,48544121,100.0,tight
217,4,4,127,127,127,100.0,tight
218,4,4,233,233,233,100.0,tight
219,4,4,524287,524287,524287,100.0,tight
221,4,3,2147483647,2147483647,2147483647,100.0,tight
222,3,3,2305843009213693696,2305843009213693696,2305843009213693696,100.0,tight
223,4,3,6361,6361,6361,100.0,tight
226,2,2,48544121,48544121,48544121,100.0,tight
227,4,4,127,127,127,100.0,tight
228,4,4,233,233,233,100.0,tight
229,4,4,524287,524287,524287,100.0,tight
231,4,3,2147483647,2147483647,2147483647,100.0,tight
232,2,2,2305843009213693696,2305843009213693696,2305843009213693696,100.0,tight
233,4,3,8191,8191,8191,100.0,tight
236,2,2,48544121,48544121,48544121,100.0,tight
237,4,4,127,127,127,100.0,tight
238,4,4,233,233,233,100.0,tight
239,4,4,524287,524287,524287,100.0,tight
241,4,3,2147483647,2147483647,2147483647,100.0,tight
243,4,4,6352,4513,8191,55.1,unstable
246,2,2,48544121,48544121,48544121,100.0,tight
247,4,4,127,127,127,100.0,tight
248,4,4,233,233,233,100.0,tight
249,4,4,524287,524287,524287,100.0,tight
251,4,4,2147483647,2147483647,2147483647,100.0,tight
253,4,3,8191,8191,8191,100.0,tight
256,2,2,48544121,48544121,48544121,100.0,tight
257,4,4,127,127,127,100.0,tight
258,4,4,233,233,233,100.0,tight
259,4,4,524287,524287,524287,100.0,tight
261,4,4,2147483647,2147483647,2147483647,100.0,tight
263,4,4,7276,4513,8191,55.1,unstable
266,2,2,48544121,48544121,48544121,100.0,tight
267,4,4,127,127,127,100.0,tight
268,4,4,233,233,233,100.0,tight
269,4,4,524287,524287,524287,100.0,tight
271,4,4,2147483647,2147483647,2147483647,100.0,tight
273,4,3,8191,8191,8191,100.0,tight
277,4,4,127,127,127,100.0,tight
278,4,4,233,233,233,100.0,tight
279,4,4,524287,524287,524287,100.0,tight
281,4,4,2147483647,2147483647,2147483647,100.0,tight
283,4,3,8191,8191,8191,100.0,tight
287,4,4,127,127,127,100.0,tight
288,4,4,233,233,233,100.0,tight
289,4,4,524287,524287,524287,100.0,tight
291,4,4,2147483647,2147483647,2147483647,100.0,tight
293,4,4,8191,8191,8191,100.0,tight
297,4,4,127,127,127,100.0,tight
298,4,4,233,233,233,100.0,tight
299,4,4,524287,524287,524287,100.0,tight
