q                          , mu10               , support, class
127                        , 0.2436974789915966 , 119    , A
233                        , 0.2436974789915966 , 119    , A
524287                     , 0.24786324786324787, 117    , A
3449                       , 0.25               , 8      , A
2298041                    , 0.3529411764705882 , 34     , A
2147483647                 , 0.375              , 40     , A
2305843009213693696        , 0.38095238095238093, 21     , A
8191                       , 0.38666666666666666, 75     , A
15193                      , 0.4                , 15     , A
48544121                   , 0.4193548387096774 , 31     , A
18121                      , 0.43478260869565216, 23     , A
1433                       , 0.4782608695652174 , 23     , A
2305843009213693952        , 0.5454545454545454 , 11     , A
1913                       , 0.6470588235294118 , 17     , B
618970019642690068730085376, 0.6521739130434783 , 23     , B
22000409                   , 0.6666666666666667 , 9      , B
43441                      , 0.75               , 20     , B
54217                      , 1.0                , 13     , B
11113                      , 1.0                , 7      , B
1504073                    , 1.0                , 11     , B
704161                     , 1.0588235294117647 , 17     , B
730753                     , 1.1176470588235294 , 17     , B
13822297                   , 1.125              , 8      , B
10960009                   , 1.1666666666666665 , 6      , B
1466449                    , 1.25               , 12     , B
4513                       , 1.3333333333333335 , 21     , B
6361                       , 1.5294117647058825 , 17     , C
622577                     , 1.5454545454545454 , 11     , C
1121297                    , 1.625              , 8      , C
27409                      , 2.0                , 4      , C
2806537                    , 2.6                , 5      , C
26849                      , 2.666666666666667  , 3      , C
12619129                   , 3.0                , 2      , C
931921                     , 3.5                , 4      , C
59233                      , 3.5                , 4      , C
35897                      , 3.75               , 4      , C
855857                     , 3.75               , 4      , C
23209                      , 4.0                , 2      , C
40841                      , 4.5                , 2      , D
35081                      , 4.5                , 2      , D
63577                      , 6.0                , 2      , D
15854617                   , 6.0                , 1      , D
33569                      , 9.0                , 2      , D
53617                      , 9.0                , 1      , D
554129                     , 11.0               , 1      , D
3189281                    , 12.0               , 1      , D
43721                      , 15.0               , 1      , D
