offset,total,dominant_digit,dominant_share,strong_dominance,allowed_digits_min15pct,allowed_mask,dominant_bit,allowed_mask_hex,dominant_bit_hex,allowed_digits_from_mask,min_total_required,usable,class
1,43,3,0.6976744186046512,True,"3,9",10,2,0xA,0x2,"3,9",10,True,B
3,22,3,1.0,True,3,2,2,0x2,0x2,3,10,True,B
4,24,7,0.375,False,"3,7,9",14,4,0xE,0x4,"3,7,9",10,True,B
5,10,9,1.0,True,9,8,8,0x8,0x8,9,10,True,B
6,35,1,0.6,True,"1,7",5,1,0x5,0x1,"1,7",10,True,B
10,36,1,0.5,False,"1,3",3,1,0x3,0x1,"1,3",10,True,B
1,9,7,1.0,True,7,4,4,0x4,0x4,7,10,False,C
2,6,7,1.0,True,7,4,4,0x4,0x4,7,10,False,C
3,18,1,1.0,True,1,1,1,0x1,0x1,1,10,True,C
4,3,9,1.0,True,9,8,8,0x8,0x8,9,10,False,C
5,12,9,1.0,True,9,8,8,0x8,0x8,9,10,True,C
6,10,3,0.5,False,"3,7",6,2,0x6,0x2,"3,7",10,True,C
10,22,7,0.7727272727272727,True,"1,7",5,4,0x5,0x4,"1,7",10,True,C
2,2,1,1.0,True,1,1,1,0x1,0x1,1,5,False,D
4,2,7,1.0,True,7,4,4,0x4,0x4,7,5,False,D
6,16,1,0.5,False,"1,7,9",13,1,0xD,0x1,"1,7,9",5,True,D
10,2,9,1.0,True,9,8,8,0x8,0x8,9,5,False,D
