offset, q_last_digit, p                 , score_neg_ln_p      , total
1     , 1           , 0.0               , 27.631021115928547  , 120
1     , 3           , 0.45              , 0.7985076962177716  , 120
1     , 7           , 0.4416666666666666, 0.8171998292299243  , 120
1     , 9           , 0.1083333333333333, 2.2225423853205095  , 120
2     , 1           , 0.6607142857142857, 0.4144337780909248  , 56
2     , 3           , 0.0178571428571428, 4.025351690735152   , 56
2     , 7           , 0.1428571428571428, 1.9459101490553137  , 56
2     , 9           , 0.1785714285714285, 1.722766597741104   , 56
3     , 1           , 0.7833333333333333, 0.2441969605120421  , 120
3     , 3           , 0.1916666666666666, 1.6519975268528966  , 120
3     , 7           , 0.0083333333333333, 4.78749174278205    , 120
3     , 9           , 0.0166666666666666, 4.094344562222105   , 120
4     , 1           , 0.0               , 27.631021115928547  , 51
4     , 3           , 0.4705882352941176, 0.7537718023763803  , 51
4     , 7           , 0.2745098039215686, 1.2927683031090673  , 51
4     , 9           , 0.2549019607843137, 1.3668762752627892  , 51
5     , 1           , 0.5102040816326531, 0.6729444732424258  , 49
5     , 3           , 0.0204081632653061, 3.891820298110628   , 49
5     , 7           , 0.0204081632653061, 3.891820298110628   , 49
5     , 9           , 0.4489795918367347, 0.8007778447523107  , 49
6     , 1           , 0.6458333333333334, 0.4372138064227446  , 96
6     , 3           , 0.0520833333333333, 2.9549102790337365  , 96
6     , 7           , 0.25              , 1.3862943611198906  , 96
6     , 9           , 0.0520833333333333, 2.9549102790337365  , 96
7     , 1           , 0.0               , 27.631021115928547  , 120
7     , 3           , 0.0               , 27.631021115928547  , 120
7     , 7           , 1.0               , -0.0                , 120
7     , 9           , 0.0               , 27.631021115928547  , 120
8     , 1           , 0.0               , 27.631021115928547  , 120
8     , 3           , 1.0               , -0.0                , 120
8     , 7           , 0.0               , 27.631021115928547  , 120
8     , 9           , 0.0               , 27.631021115928547  , 120
9     , 1           , 0.0083333333333333, 4.78749174278205    , 120
9     , 3           , 0.0               , 27.631021115928547  , 120
9     , 7           , 0.9916666666666668, 0.008368249670516466, 120
9     , 9           , 0.0               , 27.631021115928547  , 120
10    , 1           , 0.359375          , 1.0233888674305223  , 64
10    , 3           , 0.296875          , 1.2144441041932315  , 64
10    , 7           , 0.3125            , 1.1631508098056809  , 64
10    , 9           , 0.03125           , 3.4657359027997265  , 64
